humidity,wind_speed,meanpressure,date_numeric,predictedTemp,date,actual_meantemp
84.5,0.0,1015.6666666666666,0,19.386923018269634,2013-01-01,10.0
92.0,2.98,1017.8,1,19.11403973173289,2013-01-02,7.4
87.0,4.633333333333334,1018.6666666666666,2,20.00910834399009,2013-01-03,7.166666666666667
71.33333333333333,1.2333333333333334,1017.1666666666666,3,21.17906198589881,2013-01-04,8.666666666666666
86.83333333333333,3.7,1016.5,4,19.818597176140603,2013-01-05,6.0
82.8,1.48,1018.0,5,19.65817681409489,2013-01-06,7.0
78.6,6.3,1020.0,6,21.38164542177484,2013-01-07,7.0
63.71428571428572,7.142857142857143,1018.7142857142856,7,23.82602514285082,2013-01-08,8.857142857142858
51.25,12.5,1017.0,8,27.977869467798943,2013-01-09,14.0
62.0,7.399999999999999,1015.6666666666666,9,24.39888726647389,2013-01-10,11.0
51.285714285714285,10.571428571428571,1016.1428571428572,10,27.989118510108487,2013-01-11,15.714285714285714
74.0,13.228571428571428,1015.5714285714286,11,25.13408001510004,2013-01-12,14.0
75.16666666666667,4.633333333333334,1013.3333333333334,12,21.39704792002346,2013-01-13,15.833333333333334
88.16666666666667,0.6166666666666667,1015.1666666666666,13,18.957185886291082,2013-01-14,12.833333333333334
71.85714285714286,0.5285714285714286,1015.8571428571428,14,21.004157753113482,2013-01-15,14.714285714285714
86.66666666666667,0.0,1016.6666666666666,15,19.00200837925163,2013-01-16,13.833333333333334
80.83333333333333,5.250000000000001,1015.8333333333334,16,20.826501057888006,2013-01-17,16.5
92.16666666666669,8.950000000000001,1014.5,17,20.867842119938935,2013-01-18,13.833333333333334
76.66666666666667,5.883333333333333,1021.6666666666666,18,21.385391224339955,2013-01-19,12.5
75.28571428571429,8.471428571428572,1020.2857142857144,19,22.49569191830271,2013-01-20,11.285714285714286
77.0,2.22,1021.0,20,20.32190906308629,2013-01-21,11.2
79.66666666666667,3.083333333333333,1021.8,21,20.204939801919952,2013-01-22,9.5
60.16666666666666,4.016666666666667,1020.5,22,23.783995413434333,2013-01-23,14.0
60.66666666666666,6.166666666666667,1020.5,23,24.07332805126215,2013-01-24,13.833333333333334
67.0,5.55,1020.75,24,22.54578124095283,2013-01-25,12.25
64.16666666666667,6.800000000000001,1019.6666666666666,25,23.52597770972392,2013-01-26,12.666666666666666
65.57142857142857,5.557142857142857,1018.1428571428572,26,22.84043661489989,2013-01-27,12.857142857142858
56.0,3.7,1017.8333333333334,27,24.941005151346506,2013-01-28,14.833333333333334
65.5,3.2375,1016.625,28,22.41422175861491,2013-01-29,14.125
70.42857142857143,1.0571428571428572,1017.8571428571428,29,21.161436926152106,2013-01-30,14.714285714285714
65.6,2.96,1018.4,30,22.335569469381436,2013-01-31,16.2
73.0,2.22,1016.0,31,20.92368064739866,2013-02-01,16.0
77.57142857142857,1.3285714285714287,1017.1428571428572,32,20.162020715335572,2013-02-02,16.285714285714285
65.57142857142857,1.8571428571428568,1015.2857142857144,33,22.367965492289592,2013-02-03,18.0
74.28571428571429,11.114285714285714,1014.5714285714286,34,23.814428009372023,2013-02-04,17.428571428571427
92.375,9.725,1016.375,35,20.96387899636209,2013-02-05,16.625
71.33333333333333,8.633333333333333,1018.6666666666666,36,23.091997749792615,2013-02-06,16.666666666666668
59.4,10.74,1018.6,37,26.457324946212072,2013-02-07,15.6
70.42857142857143,9.257142857142856,1017.1428571428572,38,23.50721512656238,2013-02-08,14.0
61.285714285714285,9.257142857142856,1016.8571428571428,39,25.50781804398646,2013-02-09,15.428571428571429
71.5,3.475,1017.125,40,21.31556274767229,2013-02-10,15.25
70.5,5.325,1016.5,41,22.00449361124963,2013-02-11,15.875
70.33333333333333,7.416666666666667,1017.5,42,22.75354808533701,2013-02-12,15.333333333333334
70.14285714285714,6.085714285714287,1016.0,43,22.30732602542915,2013-02-13,16.285714285714285
63.833333333333336,4.333333333333333,1014.1666666666666,44,22.896867600986706,2013-02-14,17.333333333333332
65.33333333333333,10.183333333333335,1011.6666666666666,45,25.08325755211359,2013-02-15,19.166666666666668
92.71428571428572,8.485714285714286,1008.0,46,20.594149990793756,2013-02-16,14.428571428571429
90.0,0.0,1012.6666666666666,47,18.514065884611657,2013-02-17,13.666666666666666
78.4,12.220000000000002,1016.2,48,23.622074808250556,2013-02-18,15.6
82.0,5.814285714285715,1015.7142857142856,49,20.68331383499845,2013-02-19,15.857142857142858
74.71428571428571,5.814285714285715,1017.0,50,21.553589820759143,2013-02-20,17.714285714285715
67.28571428571429,6.614285714285714,1015.4285714285714,51,22.88744210634863,2013-02-21,20.0
65.625,10.875000000000002,1016.0,52,25.312696248566603,2013-02-22,20.5
74.85714285714286,9.257142857142856,1017.0,53,22.77830627538818,2013-02-23,17.428571428571427
78.85714285714286,7.400000000000001,1018.8571428571428,54,21.483191383571036,2013-02-24,16.857142857142858
72.875,4.6375,1018.25,55,21.374276636065897,2013-02-25,16.875
70.0,17.587500000000002,1015.1428571428572,56,25.91041187073965,2013-02-26,17.857142857142858
57.2,6.660000000000001,1015.2,57,25.41197645998135,2013-02-27,20.8
52.85714285714285,12.957142857142856,1017.4285714285714,58,27.60982279258953,2013-02-28,19.428571428571427
49.333333333333336,24.066666666666663,1016.3333333333334,59,28.284757377390225,2013-03-01,17.333333333333332
54.0,15.725,1016.25,60,27.275259052250327,2013-03-02,19.0
62.833333333333336,8.633333333333333,1016.1666666666666,61,24.671371195953867,2013-03-03,19.33333333333333
71.0,5.5600000000000005,1015.8,62,21.92158505326415,2013-03-04,17.6
61.875,4.1625000000000005,1016.375,63,23.30537318490874,2013-03-05,20.875
65.28571428571429,6.871428571428573,1015.7142857142856,64,23.296837958443103,2013-03-06,20.857142857142858
57.142857142857146,8.728571428571428,1015.2857142857144,65,26.4444245860695,2013-03-07,23.428571428571427
44.833333333333336,7.1000000000000005,1014.8333333333334,66,29.459159525972865,2013-03-08,24.166666666666668
49.71428571428572,5.285714285714286,1009.2857142857144,67,27.530679326790565,2013-03-09,25.428571428571427
57.57142857142857,4.228571428571429,1008.0,68,24.652448710124155,2013-03-10,23.142857142857142
66.33333333333333,0.9333333333333332,1011.1666666666666,69,22.15089539723211,2013-03-11,24.0
62.5,4.933333333333334,1011.5,70,23.372856223063753,2013-03-12,23.5
70.5,5.55,1009.0,71,22.086226103095786,2013-03-13,21.5
61.16666666666666,12.033333333333331,1013.1666666666666,72,26.45159525827928,2013-03-14,22.33333333333333
45.833333333333336,7.716666666666668,1016.1666666666666,73,29.144523778564764,2013-03-15,24.166666666666668
67.66666666666667,3.7,1016.1666666666666,74,21.83788277022199,2013-03-16,20.33333333333333
58.66666666666666,8.95,1015.0,75,26.071593195522013,2013-03-17,22.666666666666668
58.142857142857146,17.457142857142856,1009.4285714285714,76,26.82902166930891,2013-03-18,23.428571428571427
73.66666666666667,10.483333333333333,1011.0,77,23.505346035364557,2013-03-19,22.5
36.333333333333336,6.800000000000001,1009.5,78,31.66839517931389,2013-03-20,29.166666666666668
58.5,10.5,1008.3333333333334,79,26.70524505213482,2013-03-21,23.83333333333333
50.25,9.7125,1006.375,80,28.310096129719582,2013-03-22,25.25
50.125,9.95,1007.625,81,28.305882885473512,2013-03-23,27.375
48.75,10.8875,1010.25,82,28.5241156795361,2013-03-24,27.0
45.5,15.9625,1010.625,83,28.76224964858203,2013-03-25,23.5
44.57142857142857,12.957142857142856,1008.8571428571428,84,29.306997450758505,2013-03-26,24.142857142857142
62.0,1.85,1009.0,85,23.30303011501136,2013-03-27,21.0
62.71428571428572,7.4142857142857155,1009.5714285714286,86,24.19262204596721,2013-03-28,22.428571428571427
70.375,5.550000000000001,1009.75,87,22.0015478919514,2013-03-29,21.25
54.75,11.1125,1008.625,88,27.372376947434354,2013-03-30,23.5
58.0,6.660000000000001,1008.6,89,25.258529068032963,2013-03-31,23.2
45.5,4.4,1008.5,90,28.76897619495392,2013-04-01,25.375
51.0,8.65,1009.5,91,28.14022627772239,2013-04-02,25.166666666666668
45.6,8.14,1009.0,92,29.286726644476,2013-04-03,26.2
41.8,11.12,1007.8,93,30.025696884174067,2013-04-04,24.6
31.0,15.56,1007.0,94,31.996418293374358,2013-04-05,25.6
29.857142857142858,11.900000000000002,1006.1428571428572,95,32.69416231294593,2013-04-06,25.857142857142858
23.285714285714285,10.314285714285717,1005.0,96,34.424373296267014,2013-04-07,29.142857142857142
33.857142857142854,5.3,1006.0,97,32.57580597635237,2013-04-08,28.714285714285715
30.5,8.65,1005.3333333333334,98,32.85783123518373,2013-04-09,30.166666666666668
28.0,6.1,1006.7142857142856,99,33.97618189981491,2013-04-10,30.0
24.2,7.780000000000001,1006.4,100,34.63162679812888,2013-04-11,30.0
32.57142857142857,6.342857142857143,1007.5714285714286,101,32.68168233440189,2013-04-12,28.857142857142858
29.2,10.000000000000002,1008.4,102,32.913793172797476,2013-04-13,30.2
39.375,6.487499999999999,1007.0,103,30.927846039896853,2013-04-14,28.25
